"","AGE","GENDER","DOMAIN","PhD","YEARSEXP","UNIVERSITY","UOC_POSITION","USERWIKI","PU1","PU2","PU3","PEU1","PEU2","PEU3","ENJ1","ENJ2","Qu1","Qu2","Qu3","Qu4","Qu5","Vis1","Vis2","Vis3","Im1","Im2","Im3","SA1","SA2","SA3","Use1","Use2","Use3","Use4","Use5","Pf1","Pf2","Pf3","JR1","JR2","BI1","BI2","Inc1","Inc2","Inc3","Inc4","Exp1","Exp2","Exp3","Exp4","Exp5"
"104",42,"0","Ciencias","1",15,"1","Adjunto","0","4","5","5","5","5","4","5","4","4","4","4","1","3","3","4","2","4","3","4","3","1","4","3","2","4","3","5","2","1","2","3","3","3","3","1","1","1","1","4","2","3","2","3"
"105",36,"0","Ingenieria y Arquitectura","0",12,"1","Adjunto","0","4","3","4","4","3","3","3","4","4","4","3","3","3","3","3","3","3","3","3","5","4","3","4","3","3","2","4","4","5","4","1","2","3","4","4","3","2","3","2","3","4","5","1"
"106",47,"0","Ingenieria y Arquitectura","1",24,"1","Adjunto","0","1","2","2","4","3","4","3","3","1","2","2","3","1","1","3","2","2","4","3","4","3","5","2","1","2","2","2","1","1","4","4","4","2","2","2","2","2","2","3","2","1","1","2"
"107",35,"0","Ingenieria y Arquitectura","1",5,"1","Adjunto","0","4","4","5","5","5","5","5","5","5","5","4","2","4","5","3","1","5","5","5","5","5","5","4","2","2","2","5","1","3","3","5","5","4","4","5","2","2","2","5","5","5","1","4"
"108",45,"0","Derecho y Politica","1",22,"1","Adjunto","0","2","2","2","3","3","3","2","3","2","2","1","5","1","2","3","1","1","3","1","4","4","4","2","2","1","1","2","4","4","2","2","1","1","1","5","3","3","5","1","2","1","1","4"
"109",46,"0","Ciencias de la Salud","1",10,"1","Adjunto","0","5","5","5","5","5","3","5","4","4","4","4","2","4","4","3","2","2","4","4","4","2","4","3","3","4","2","4","2","3","1","4","3","4","4","4","4","4","4","4","4","4","2","4"
"110",46,"0","Ciencias de la Salud","1",20,"1","Adjunto","0","3","3","4","5","5","3","4","5","3","3","3","3","2","3","2","1","3","4","3","5","5","5","2","2","4","4","4","1","1","1","4","4","3","3","5","5","3","4","4","4","4","1","3"
"111",41,"0","Ingenieria y Arquitectura","0",13,"1","Adjunto","0","3","4","3","4","4","4","5","4","3","3","3","4","3","3","3","1","3","4","3","4","4","4","3","3","4","3","5","2","5","1","3","2","4","4","4","4","3","4","4","4","2","2","3"
"112",42,"0","Ingenieria y Arquitectura","0",8,"1","Adjunto","0","3","3","3","5","4","2","5","4","2","2","3","3","1","3","3","1","2","4","4","5","5","5","3","3","3","2","4","1","1","2","3","3","2","1","2","2","2","2","3","4","4","1","2"
"113",48,"0","Derecho y Politica","0",10,"1","Adjunto","0","2","2","2","4","5","1","2","3","2","3","3","2","2","2","2","1","1","3","1","3","3","3","2","2","2","1","3","2","1","1","4","4","2","1","2","2","2","1","1","2","1","1","1"
"114",43,"0","Ciencias","1",5,"1","Adjunto","0","2","4","3","4","4","2","3","4","3","4","3","2","4","4","2","3","4","3","2","5","5","5","4","4","5","5","4","2","5","4","4","3","4","4","4","3","2","4","4","3","3","1","4"
"115",33,"0","Ingenieria y Arquitectura","0",12,"1","Adjunto","0","2","2","3","3","3","3","3","3","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","1","1","1","2","1","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1"
"116",42,"0","Ingenieria y Arquitectura","1",14,"1","Adjunto","0","2","3","3","5","4","2","4","3","4","4","3","2","4","3","3","2","2","4","1","5","4","4","2","2","3","2","3","1","2","2","4","3","2","2","4","3","3","4","4","3","4","2","2"
"117",46,"0","Ciencias","1",22,"1","Adjunto","0","3","4","4","5","4","3","4","4","5","5","5","2","5","2","3","2","5","5","4","5","5","5","1","1","3","4","5","1","1","2","5","4","4","4","2","5","5","3","4","3","3","1","2"
"118",47,"0","Ingenieria y Arquitectura","1",23,"1","Adjunto","0","3","3","3","4","4","4","3","3","3","3","3","3","3","4","2","2","2","3","2","4","3","3","1","1","3","3","3","2","2","3","2","1","2","3","4","4","3","4","2","4","3","1","1"
"119",55,"0","Artes y Humanidades","0",20,"1","Adjunto","0","4","3","4","5","4","5","4","4","3","4","3","3","4","3","3","1","2","3","4","4","4","5","3","3","3","4","4","1","2","2","4","3","3","3","3","3","3","3","3","4","4","1","5"
"120",33,"0","Ingenieria y Arquitectura","0",2,"1","Adjunto","0","3","3","4","3","3","3","4","3","3","3","3","2","3","3","2","2","4","3","3","4","3","3","1","1","3","2","3","2","1","1","4","2","2","3","3","3","3","3","3","3","3","1","1"
"121",47,"0","Ingenieria y Arquitectura","1",24,"1","Adjunto","0","2","2","2","4","4","4","2","3","3","3","2","4","2","1","3","1","1","2","1","3","1","4","1","1","1","1","1","3","3","1","3","4","2","1","4","2","2","2","1","3","3","1","2"
"122",38,"0","Derecho y Politica","0",10,"1","Adjunto","0","3","3","3","4","4","3","3","3","4","4","4","3","3","3","3","1","3","3","3","4","4","4","1","1","2","2","3","1","2","1","4","3","3","3","4","4","4","4","2","2","2","1","1"
"123",44,"0","Derecho y Politica","0",12,"1","Adjunto","0","2","3","1","3","2","5","4","3","2","5","4","5","5","5","3","1","1","2","1","4","5","3","1","1","1","1","1","1","1","2","4","2","1","1","5","4","3","3","1","2","3","1","1"
"124",36,"0","Derecho y Politica","0",8,"1","Adjunto","0","3","3","3","5","3","2","4","5","5","5","4","2","4","4","4","1","3","3","2","5","5","5","1","1","2","2","4","1","1","1","4","3","4","3","5","4","4","4","3","3","3","1","2"
"125",40,"0","Artes y Humanidades","0",8,"1","Adjunto","0","2","2","3","3","3","3","4","3","3","3","2","3","3","4","4","2","2","4","2","4","5","5","2","1","2","2","2","2","3","2","4","3","3","3","5","5","5","5","4","4","4","1","3"
"126",44,"0","Derecho y Politica","1",16,"1","Adjunto","0","4","3","3","3","5","4","5","5","3","3","3","4","4","3","4","1","1","2","1","4","4","4","1","1","1","1","3","1","1","1","1","1","1","1","3","2","2","5","1","3","4","1","1"
"127",54,"0","Artes y Humanidades","1",7,"1","Adjunto","0","3","4","4","4","4","4","5","4","3","3","2","2","3","3","3","1","2","2","4","3","4","4","2","1","3","2","4","1","2","1","5","5","3","3","4","4","4","4","4","5","5","1","1"
"128",45,"0","Derecho y Politica","1",15,"1","Adjunto","0","4","3","3","5","4","3","4","4","3","3","3","5","2","2","3","2","1","2","1","3","3","3","1","1","2","2","3","2","2","2","2","1","1","3","3","3","3","3","3","1","5","1","1"
"129",41,"0","Artes y Humanidades","1",11,"1","Adjunto","0","4","3","3","5","5","4","5","5","2","3","3","3","2","4","3","1","2","3","4","5","5","4","2","1","2","2","3","1","3","2","4","3","3","3","4","4","3","2","4","5","5","1","1"
"130",40,"0","Artes y Humanidades","1",12,"1","Adjunto","0","2","3","2","2","3","4","4","4","2","3","4","5","3","4","3","2","4","4","4","2","2","2","2","3","2","1","3","1","1","1","3","4","2","2","3","3","3","3","3","2","4","3","2"
"131",69,"0","Ingenieria y Arquitectura","0",10,"1","Adjunto","0","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","3","3","3","4","3","4","3","3","3","3","3"
"132",38,"0","Ingenieria y Arquitectura","0",4,"1","Adjunto","0","2","3","3","4","4","4","5","5","3","4","4","3","4","3","4","5","3","2","3","5","5","5","3","1","3","3","5","5","3","5","3","3","3","5","5","3","5","3","5","5","3","1","5"
"133",34,"0","Ingenieria y Arquitectura","1",10,"1","Adjunto","1","5","4","5","5","5","4","5","4","3","4","4","2","2","2","5","1","5","5","5","5","5","5","5","4","5","5","5","5","5","5","3","3","5","5","3","4","4","3","5","5","3","4","5"
"134",41,"0","Ciencias de la Salud","0",10,"1","Adjunto","1","3","4","3","5","5","3","4","4","4","4","4","3","3","4","2","2","4","4","4","4","3","5","2","4","4","4","4","1","2","2","4","5","3","3","4","2","5","3","2","3","3","1","3"
"135",41,"0","Artes y Humanidades","0",6,"1","Adjunto","0","2","2","3","5","5","5","3","5","2","3","3","3","3","4","4","1","2","2","2","5","4","5","1","1","1","1","2","3","4","4","4","4","1","2","5","3","3","4","2","2","3","1","4"
"136",34,"0","Ingenieria y Arquitectura","1",12,"1","Adjunto","0","5","5","3","4","4","5","5","4","3","3","3","4","4","4","4","1","4","4","4","5","5","5","2","2","2","1","5","2","3","1","3","1","2","2","4","3","3","4","4","4","4","2","1"
"137",41,"0","Ciencias","0",3,"1","Adjunto","0","2","2","2","3","4","4","4","4","2","2","2","3","2","2","2","2","2","3","2","3","3","3","2","2","2","2","3","2","2","3","4","3","2","2","3","2","2","3","2","2","2","2","2"
"138",42,"0","Ciencias","0",6,"1","Adjunto","0","5","4","4","5","5","3","4","4","4","4","4","2","4","4","3","4","4","5","4","5","5","5","4","3","4","4","5","2","2","1","5","3","5","4","4","4","4","4","4","4","4","1","4"
"139",39,"0","Ingenieria y Arquitectura","0",12,"1","Adjunto","1","4","4","4","5","4","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","3","3","3","3","3","3","3","3","4","4","3","3","4"
"140",39,"0","Derecho y Politica","0",3,"1","Adjunto","0","5","5","5","5","5","5","5","5","4","5","4","4","5","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","5","5","5","2","5","4","3","4","5","2","4"
"141",33,"0","Ciencias de la Salud","1",4,"1","Adjunto","0","3","4","5","4","4","3","5","5","4","4","2","4","4","3","3","1","3","2","3","4","3","4","3","1","4","4","4","4","3","1","2","1","3","3","5","3","3","4","4","5","5","1","2"
"142",53,"0","Artes y Humanidades","1",10,"1","Adjunto","1","5","5","5","5","5","5","5","5","5","4","4","3","4","4","2","2","2","4","3","5","5","5","3","3","4","4","3","4","5","4","5","4","4","4","5","4","5","5","4","4","4","4","4"
"143",48,"0","Derecho y Politica","0",8,"1","Adjunto","1","3","3","3","5","4","3","3","4","3","4","3","4","3","3","3","2","3","4","3","4","4","4","2","2","2","2","3","3","3","2","4","4","3","3","4","3","4","4","2","3","4","2","2"
"144",42,"0","Ciencias","1",5,"1","Adjunto","0","2","2","1","3","2","2","3","2","1","1","1","4","1","2","2","1","1","1","1","2","1","2","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1"
"145",48,"0","Derecho y Politica","0",2,"1","Adjunto","0","3","3","3","5","5","4","4","4","3","2","2","4","3","3","4","1","2","2","3","5","5","5","1","1","3","3","3","1","4","1","5","3","3","3","5","5","5","5","3","3","4","1","3"
"146",35,"0","Ingenieria y Arquitectura","0",5,"1","Adjunto","0","2","4","4","4","4","4","4","3","3","4","4","3","4","4","3","3","4","4","3","4","5","4","2","2","4","4","4","2","2","2","3","3","4","4","4","3","4","4","4","4","4","2","4"
"147",35,"0","Ciencias","0",10,"1","Adjunto","1","4","4","5","4","4","4","4","4","3","4","3","2","4","4","4","3","3","4","4","5","5","5","4","3","4","4","4","4","4","5","4","3","4","4","4","4","3","4","5","5","5","3","5"
"148",38,"0","Artes y Humanidades","0",3,"1","Adjunto","0","3","2","4","5","5","5","5","5","4","4","3","3","3","3","2","1","3","3","4","5","5","5","2","1","3","1","3","5","5","3","3","4","2","4","4","4","4","3","3","5","4","2","1"
"149",28,"0","Ingenieria y Arquitectura","0",1,"1","Adjunto","0","1","3","2","5","5","5","2","5","2","2","3","3","1","3","3","2","2","5","3","5","4","4","2","2","3","3","3","2","3","1","4","3","3","3","4","4","4","4","2","3","4","2","2"
"150",36,"0","Ciencias de la Salud","1",8,"1","Adjunto","0","3","2","2","3","4","4","3","3","3","3","1","4","2","2","3","1","1","3","2","4","4","4","1","1","2","2","2","1","2","1","3","2","1","1","3","3","3","2","3","4","2","1","1"
"151",47,"0","Derecho y Politica","0",7,"1","Adjunto","0","2","2","2","4","4","4","3","3","3","3","3","4","2","2","2","1","3","4","2","3","2","4","1","1","1","1","2","2","2","2","4","3","2","3","3","4","3","3","2","2","3","1","5"
"152",36,"0","Ciencias","0",4,"1","Adjunto","0","3","3","3","5","4","3","5","5","4","5","2","3","4","3","3","3","3","3","3","5","5","5","2","1","3","4","4","5","5","5","3","3","4","4","5","5","5","5","2","2","4","1","3"
"153",38,"0","Ingenieria y Arquitectura","1",12,"1","Adjunto","0","5","5","5","5","5","3","5","5","5","5","4","3","4","3","3","1","4","5","4","5","5","5","3","1","5","3","5","1","2","2","4","2","4","4","4","4","4","5","3","5","5","1","4"
"154",44,"0","Artes y Humanidades","0",15,"1","Adjunto","0","5","3","5","5","5","5","5","5","4","4","2","5","3","3","3","1","3","3","3","5","5","5","3","5","5","5","5","5","5","3","5","3","5","5","5","5","5","3","5","5","5","3","5"
"155",42,"0","Artes y Humanidades","1",18,"1","Adjunto","0","2","2","4","5","4","4","4","4","4","3","3","4","2","3","3","1","2","1","2","5","3","5","1","1","2","3","4","5","5","4","2","4","4","3","3","2","2","2","4","5","3","4","1"
"156",57,"0","Ingenieria y Arquitectura","0",6,"1","Adjunto","0","4","4","3","5","4","3","4","4","4","3","4","2","3","3","3","1","3","3","3","4","4","5","1","2","2","2","4","2","2","1","4","3","3","2","1","4","3","2","4","5","3","1","1"
"157",48,"0","Ciencias","1",26,"1","Adjunto","0","3","3","4","5","5","3","4","4","4","4","3","3","4","3","3","1","3","4","3","5","5","4","2","1","4","3","4","1","3","2","3","3","4","3","4","4","4","3","4","4","5","1","1"
"158",36,"0","Artes y Humanidades","0",11,"1","Adjunto","1","3","4","5","5","4","4","5","5","4","4","2","5","4","3","4","1","3","4","4","5","5","5","2","3","4","4","5","2","3","1","4","4","4","4","2","2","4","4","4","5","5","3","2"
"159",36,"0","Ciencias de la Salud","1",7,"1","Adjunto","0","2","1","3","5","3","4","3","3","2","3","2","5","2","1","3","1","1","4","3","4","2","4","2","1","1","1","1","2","2","3","4","3","1","2","1","1","2","1","1","1","2","1","1"
"160",29,"0","Ingenieria y Arquitectura","0",1,"1","Adjunto","1","5","4","5","4","5","4","4","4","4","5","4","4","3","3","3","4","4","4","4","5","5","5","3","3","3","3","4","4","3","3","5","3","3","4","4","3","3","3","3","4","4","3","2"
"161",33,"0","Derecho y Politica","1",6,"1","Adjunto","0","3","4","3","4","4","5","5","5","3","3","3","3","3","4","3","3","1","5","1","5","5","5","2","2","3","1","4","4","4","3","5","5","5","5","5","3","5","5","2","4","4","1","3"
"162",39,"0","Derecho y Politica","1",10,"1","Adjunto","1","4","4","3","4","3","2","4","3","2","3","2","3","3","3","3","1","2","2","2","4","4","4","3","4","2","2","4","1","4","4","3","5","3","3","4","2","3","5","3","3","3","2","3"
"163",56,"0","Ingenieria y Arquitectura","0",4,"1","Adjunto","0","4","3","4","3","2","2","3","3","4","4","3","3","4","3","3","4","4","5","4","5","5","5","2","2","4","4","5","2","4","3","5","5","5","5","4","4","3","3","4","4","2","1","4"
"164",46,"0","Derecho y Politica","0",20,"1","Adjunto","0","3","2","2","3","3","3","3","3","4","3","3","3","4","3","3","3","4","3","3","2","3","3","3","3","4","3","2","4","4","4","2","2","3","3","3","3","2","3","3","2","3","2","3"
"165",45,"0","Ingenieria y Arquitectura","1",18,"1","Adjunto","0","3","2","3","3","3","3","2","2","3","4","2","2","2","1","2","2","2","4","2","2","2","3","3","1","3","2","2","1","1","1","2","1","1","1","1","2","3","2","3","2","2","1","1"
"166",39,"0","Artes y Humanidades","1",6,"1","Adjunto","0","1","1","2","5","3","3","2","3","2","2","2","5","1","3","3","1","3","1","3","5","5","5","1","2","2","1","3","1","1","3","5","5","2","1","5","3","5","5","2","1","3","1","2"
"167",37,"0","Ingenieria y Arquitectura","0",5,"1","Adjunto","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"168",41,"0","Ingenieria y Arquitectura","0",5,"1","Adjunto","0","4","4","5","4","4","3","4","4","3","3","3","2","3","3","3","5","3","2","3","4","4","4","4","3","4","4","4","1","3","4","5","3","4","4","4","4","4","5","5","4","4","1","1"
"169",42,"0","Artes y Humanidades","0",8,"1","Adjunto","1","4","3","4","5","5","4","5","4","4","4","3","4","3","4","3","3","3","4","4","5","5","5","3","2","4","3","4","3","4","4","5","5","4","4","5","2","3","5","2","3","4","3","4"
"170",44,"0","Ingenieria y Arquitectura","1",22,"1","Adjunto","0","4","3","4","4","4","3","3","4","3","4","2","4","3","4","3","2","2","3","3","4","3","4","2","1","2","2","3","1","4","2","3","4","2","2","3","3","2","2","3","3","3","2","4"
"171",29,"0","Ciencias","0",1,"1","Adjunto","0","4","3","3","4","5","4","5","5","4","4","2","5","3","4","3","1","2","3","3","5","5","5","1","1","2","2","2","1","3","2","5","3","3","2","5","4","3","2","1","4","3","1","4"
"172",36,"0","Ingenieria y Arquitectura","1",12,"1","Adjunto","0","5","5","5","5","5","4","5","5","4","5","4","3","4","4","4","1","2","2","1","5","5","5","3","1","5","3","5","1","5","5","4","1","3","3","3","4","3","4","4","4","4","1","2"
"173",33,"0","Ingenieria y Arquitectura","0",2,"1","Adjunto","0","5","5","5","5","3","3","4","4","4","4","4","4","5","3","4","3","5","4","5","5","5","5","1","1","3","3","5","2","2","1","5","5","3","2","3","3","3","3","4","5","5","1","2"
"174",44,"0","Derecho y Politica","0",4,"1","Adjunto","0","5","5","5","5","5","5","5","5","3","3","3","5","3","3","3","3","3","3","1","5","5","5","1","1","3","3","3","1","1","1","3","3","3","3","5","5","5","5","1","1","1","1","1"
"175",34,"0","Ingenieria y Arquitectura","0",11,"1","Adjunto","0","2","3","3","5","4","4","2","4","3","3","3","3","3","3","4","4","4","4","4","5","5","5","2","2","3","3","4","2","2","2","3","3","3","3","5","4","4","4","3","3","3","2","2"
"176",42,"0","Derecho y Politica","1",15,"1","Adjunto","0","2","3","3","5","3","3","4","4","3","3","2","2","3","3","2","1","2","3","4","5","5","5","2","3","3","2","3","4","4","4","4","4","2","3","3","4","4","4","3","4","4","1","3"
"177",35,"0","Ciencias","1",5,"1","Adjunto","0","3","3","4","5","3","4","4","3","4","4","3","4","2","3","2","1","3","4","3","3","3","4","1","2","2","2","4","1","4","1","4","2","2","3","3","3","3","3","2","3","4","1","4"
"178",44,"0","Artes y Humanidades","1",5,"1","Adjunto","0","4","4","4","4","3","3","3","4","3","4","3","3","3","3","3","2","3","2","2","4","4","5","3","3","4","4","3","2","3","3","4","2","4","3","3","3","3","3","3","3","4","3","4"
"179",43,"0","Derecho y Politica","1",10,"1","Adjunto","1","3","3","2","5","4","2","4","4","2","2","2","4","3","3","2","1","3","5","3","5","5","5","1","1","2","2","4","3","5","5","5","5","3","2","3","2","4","3","3","4","3","1","4"
"180",33,"0","Artes y Humanidades","0",3,"1","Adjunto","0","3","3","4","4","4","2","4","4","4","4","4","2","4","3","3","4","3","3","4","4","5","4","4","3","4","4","4","3","4","4","4","3","4","4","4","4","4","4","4","4","5","2","4"
"181",33,"0","Derecho y Politica","1",10,"1","Adjunto","0","2","2","2","2","2","4","4","4","2","2","2","2","1","2","2","1","2","2","2","2","2","4","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1"
"182",33,"0","Ciencias de la Salud","0",5,"1","Adjunto","0","3","4","4","4","5","5","5","5","3","3","3","3","2","3","4","1","1","2","2","5","5","5","1","1","1","1","1","1","5","2","5","5","3","2","3","2","4","5","3","4","5","1","2"
"183",58,"0","Ingenieria y Arquitectura","1",30,"1","Adjunto","0","3","2","3","4","4","5","2","3","2","3","3","3","3","2","3","2","3","4","3","4","3","3","3","1","2","2","4","2","2","2","4","3","2","2","2","4","4","4","2","3","3","1","1"
"184",43,"0","Derecho y Politica","0",8,"1","Adjunto","0","4","4","4","5","4","4","4","4","3","3","3","5","4","3","3","3","3","3","4","4","4","4","3","2","3","3","4","3","4","4","3","3","3","3","3","4","4","4","3","4","3","1","2"
"185",38,"0","Ingenieria y Arquitectura","0",3,"1","Adjunto","0","4","4","4","4","4","3","3","3","4","3","3","2","3","3","3","1","3","4","4","4","4","4","1","1","4","4","4","1","1","1","3","3","4","4","4","3","3","3","4","3","4","1","4"
"186",36,"0","Artes y Humanidades","0",3,"1","Adjunto","0","3","3","3","5","5","4","4","4","1","4","2","2","2","3","3","1","2","3","3","3","4","4","2","2","2","3","3","2","2","2","4","4","3","3","3","2","2","4","3","4","5","2","5"
"187",45,"0","Ingenieria y Arquitectura","0",1,"1","Adjunto","0","2","4","4","4","4","3","4","4","4","4","3","4","4","3","3","2","3","3","5","4","4","4","3","1","4","4","4","1","1","1","4","3","4","4","2","2","2","2","4","4","4","1","1"
"188",42,"0","Artes y Humanidades","1",10,"1","Adjunto","0","3","3","3","5","5","3","4","4","4","4","3","2","3","3","3","1","2","4","3","5","5","5","1","1","1","1","2","1","1","1","5","5","3","3","3","3","3","3","2","2","4","1","3"
"189",44,"0","Artes y Humanidades","0",3,"1","Adjunto","1","2","3","3","4","4","4","3","3","4","4","4","3","3","4","3","3","3","4","3","3","4","4","3","1","2","2","3","2","1","3","4","3","2","2","4","3","4","4","3","4","4","2","4"
"190",36,"0","Artes y Humanidades","0",3,"1","Adjunto","0","4","3","3","5","5","3","3","4","3","3","3","4","3","3","2","2","2","3","3","5","5","5","2","3","3","3","3","3","4","4","3","3","4","4","4","4","3","3","3","4","4","1","3"
"191",30,"0","Ingenieria y Arquitectura","0",1,"1","Adjunto","0","4","5","4","5","5","5","5","5","2","3","3","2","1","3","3","1","2","5","2","4","4","2","1","1","3","1","4","2","3","3","5","3","3","3","4","5","2","5","2","4","4","2","1"
"192",47,"0","Ingenieria y Arquitectura","0",2,"1","Adjunto","1","4","4","5","4","4","4","5","4","4","3","4","3","4","3","3","4","5","4","4","4","5","5","3","2","5","5","4","3","3","2","5","5","4","4","4","2","3","3","4","4","5","2","3"
"193",28,"0","Ingenieria y Arquitectura","0",2,"1","Adjunto","0","4","3","4","5","5","4","4","4","3","3","3","2","3","3","3","2","3","4","3","4","4","4","1","1","3","3","4","1","3","1","3","3","3","3","4","3","2","3","3","3","3","1","1"
"194",57,"0","Ingenieria y Arquitectura","0",3,"1","Adjunto","0","2","2","2","5","3","4","4","3","2","2","2","4","3","2","4","2","2","3","2","4","4","4","1","1","2","2","2","2","2","2","4","3","2","2","4","4","4","4","1","1","1","1","4"
"195",36,"0","Ingenieria y Arquitectura","0",5,"1","Adjunto","0","3","3","3","3","3","3","4","3","3","3","3","3","2","3","3","2","3","3","3","3","3","4","1","1","3","3","3","2","3","3","4","4","3","3","3","2","3","3","3","3","3","1","3"
"196",28,"0","Ingenieria y Arquitectura","0",1,"1","Adjunto","0","3","2","5","4","3","4","4","4","4","4","3","2","2","2","2","4","3","4","5","4","5","5","3","2","4","4","4","5","5","1","5","5","5","5","3","3","3","3","4","4","3","1","2"
"197",37,"0","Artes y Humanidades","1",4,"1","Adjunto","0","3","3","1","1","2","1","1","2","2","2","2","3","3","3","2","4","2","2","2","1","1","2","3","1","3","4","1","5","4","5","1","2","3","3","1","2","3","2","4","4","2","3","2"
"198",26,"0","Ingenieria y Arquitectura","0",3,"1","Adjunto","0","3","4","5","5","4","4","5","5","4","4","3","3","4","4","3","4","5","5","5","5","5","5","3","4","5","5","5","2","2","4","4","3","4","4","4","3","2","3","4","4","4","2","5"
"199",51,"0","Artes y Humanidades","0",8,"1","Adjunto","0","3","4","5","3","5","3","4","4","3","4","3","3","3","3","3","1","4","3","4","4","3","5","4","3","4","4","3","1","1","1","4","4","4","4","5","5","5","4","4","4","2","2","4"
"200",33,"0","Derecho y Politica","1",3,"1","Adjunto","0","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3"
"201",51,"0","Derecho y Politica","1",15,"1","Adjunto","1","3","2","3","3","3","4","4","4","3","4","3","3","4","3","3","3","2","3","2","4","5","5","3","3","3","3","3","5","5","5","4","3","3","3","5","3","5","4","3","4","4","4","5"
"202",41,"0","Ciencias","1",16,"1","Adjunto","0","3","4","5","5","4","4","5","5","4","3","2","1","4","3","3","4","3","5","4","5","5","5","4","2","4","4","5","1","3","3","2","1","4","4","5","5","5","5","4","4","4","1","2"
"203",40,"0","Derecho y Politica","0",8,"1","Adjunto","0","3","3","2","4","5","4","4","5","2","3","1","4","3","3","4","2","1","5","3","5","4","5","1","1","1","1","1","1","5","5","5","5","2","2","4","3","2","2","1","2","2","1","1"
"204",48,"0","Artes y Humanidades","0",2,"1","Adjunto","0","4","4","4","5","4","3","4","4","3","3","3","3","3","3","3","3","2","4","3","4","4","5","3","3","4","3","3","1","3","1","3","4","3","3","5","4","5","4","4","4","4","2","2"
"205",36,"0","Ciencias","0",8,"1","Adjunto","0","3","2","4","4","4","3","2","2","5","5","4","1","5","2","3","3","3","3","4","5","5","5","2","2","2","3","4","1","2","1","3","3","2","3","3","3","3","3","4","4","3","1","2"
"206",35,"0","Artes y Humanidades","0",3,"1","Adjunto","1","2","2","3","3","3","4","3","3","3","2","2","2","2","2","3","1","3","3","3","4","4","4","2","2","2","2","2","4","4","3","4","3","2","2","4","4","4","3","2","2","3","4","2"
"207",35,"0","Artes y Humanidades","1",6,"1","Adjunto","0","5","5","5","5","5","3","5","3","4","4","4","1","4","4","3","1","3","3","3","5","4","5","5","1","4","4","5","1","3","1","1","1","5","5","5","3","3","5","4","3","1","1","1"
"208",32,"0","Artes y Humanidades","0",1,"1","Adjunto","0","4","5","4","5","5","3","5","5","4","4","4","2","4","4","3","3","4","4","4","4","5","5","1","1","3","3","5","2","4","1","3","4","4","3","5","5","5","5","5","5","5","1","5"
